Question,Answer
Đền Bắc Cung có tên gọi khác là gì?,"Đền Bắc Cung còn có tên gọi nôm là đền Thính. Đền thờ đức thánh Tản Viên. Đền thuộc xã Tam Hồng, huyện Yên Lạc."
Đền Thính thờ ai?,Đền Thính thờ đức thánh Tản Viên. Đền còn có tên gọi khác là đền Bắc Cung. Đền là một trong bốn cung đền lớn ở quanh vùng núi Ba Vì và châu thổ sông Hồng.
Đền Thính tọa lạc tại vị trí nào?,"Đền Thính tọa lạc tại xã Tam Hồng, huyện Yên Lạc. Đền nằm giữa cánh đồng màu mỡ trên khu đất rộng 10.000m2. Đền tựa mình bên những con sông."
Đền Thính được xây dựng từ khi nào?,"Đền Thính được khởi dựng cách đây 20 thế kỷ trên nền một ngôi miếu nhỏ thờ đức thánh Tản. Từ một ngôi miếu nhỏ, đến đời vua Lý Thần Tông (1072-1128) miếu được xây lại thành đền lớn. Công trình kéo dài đến đời Khải Định thứ 6 mới xong (1900-1921)."
Đền Thính được xây dựng từ vật liệu nào?,"Tôi xin lỗi, thông tin này không có trong văn bản. Văn bản chỉ cung cấp thông tin về lịch sử và lễ hội của đền Thính."
Đền Thính có kiến trúc gì đặc biệt?,"Đền Thính được xây dựng trên nền một ngôi miếu nhỏ thờ đức thánh Tản. Hiện các hạng mục đông lang, tây lang và cổng Tam Quan đang được tích cực thi công, dự kiến hoàn thiện trong năm 2023. Cổng Tam Quan được thiết kế xây dựng từ ý tưởng của tháp Tuệ Quang, nơi thờ xá lợi (ngọc cốt) của Ngọc Hoàng Trần Nhân Tông trên núi Yên Tử với 3 cổng vào."
Diện tích của đền Thính là bao nhiêu?,"Tổng diện tích xây dựng của đền Thính là 600m2. Kiến trúc đền theo kiểu ""nội đinh, ngoại nhất"". Đền có cổng tam quan 2 tầng 4 mái, sân lát gạch vuông, tiền tế (5 gian), trung tế 3 gian và hậu cung 3 gian."
Đền Thính tổ chức lễ hội vào ngày nào?,"Lễ hội đền Thính được mở từ ngày mùng 6 tháng Giêng đến hết ngày 20 tháng Giêng âm lịch. Lễ hội gồm phần lễ tế, rước kiệu của các làng trong và ngoài xã cùng rất nhiều trò chơi dân gian. Sau lễ khai mạc của Ban tổ chức lễ hội, lần lượt từng thôn trong và ngoài xã tiến hành lễ rước từ Đình thờ của làng mình lên đền Thính."
Đền Thính đã qua bao nhiêu lần tu sửa?,Đền Thính đã trải qua nhiều lần tu sửa. Đền được xây dựng lại thành đền lớn vào đời vua Lý Thần Tông (1072-1128). Đời Vua Minh Mạng (1820-1840) đền lại được tu sửa nhiều lần.
Chi tiết về lễ hội đền Thính?,"Lễ hội đền Thính được mở từ ngày mùng 6 tháng Giêng đến hết ngày 20 tháng Giêng âm lịch hàng năm. Lễ hội gồm phần lễ tế, rước kiệu của các làng trong và ngoài xã. Rất nhiều trò chơi dân gian cũng được tổ chức."
Đền thờ ai?,"Đền thờ Mẫu Thượng Ngàn, một trong ba vị Tam tòa Thánh Mẫu trong tín ngưỡng thờ Mẫu của người Việt Nam. Đền còn thờ Phật, Chúa Sơn Trang, Đức Thánh Trần và các vị trung thần nhà Mạc. Ngoài ra, đền còn thờ 4 vị."
Đền thờ Trần Nguyên Hãn tọa lạc tại vị trí nào?,"Đền thờ Trần Nguyên Hãn tọa lạc ở thôn Đa Cai, xã Sơn Đông, huyện Lập Thạch. Đền được xây dựng trên thế đất bằng phẳng, rộng cao. Tương truyền, đây chính là nơi đặt Phủ đệ cũ của Trần Nguyên Hãn."
Đền thờ Trần Nguyên Hãn có kiến trúc gì đặc biệt?,"Đền thờ Trần Nguyên Hãn được xây dựng theo kiểu chữ ""Đinh"" và có tường bao bọc tạo thành khuôn viên chữ ""điền"" vuông vắn. Các công trình xây dựng gồm 3 phần: Cổng đền, nhà tiền tế, hậu cung. Bên trong đền có nhiều đồ thờ tự và các chi tiết chạm trổ tứ quý được tạo ra từ các loại gỗ quý."
"Đền thờ Trần Nguyên Hãn có những gian, tòa nào?","Đền thờ Trần Nguyên Hãn có tiền đường, trung đường và chính điện (hậu cung). Tiền đường rộng rãi, cao thoáng, gồm 5 gian. Gian trong cùng hay còn gọi là gian chính điện hoặc hậu cung có diện tích khoảng 20,44 m2."
Đền thờ Trần Nguyên Hãn đã qua bao nhiêu lần tu sửa?,"Đền thờ Trần Nguyên Hãn đã được tu sửa nhiều lần và xây dựng thêm, chủ yếu vào đời Nguyễn. Nghệ thuật kiến trúc mang phong cách thời Nguyễn: Đục trơn bào nhẵn, trang trí đơn giản. Từ khi xây dựng đến nay, đền đã được tu sửa nhiều lần."
"Đền thờ Trần Nguyên Hãn có những bảo vật, hiện vật quý giá nào?","Trong đền có đầy đủ đồ thờ tự như bát hương đồng, chiêng và chuông đồng, ngai thờ sơn son thếp vàng, chạm trổ tứ quý từ gỗ quý. Bệ Phật hình hoa sen làm từ đất nung, trang trí hình cánh sen trên bát sứ và lọ sứ men ngà rạn là dấu ấn nghệ thuật thời Trần. Một số cổ vật quý trong đền như tượng, long đao, chuông đồng, sắc phong đã được thu gom năm 1976."
Những câu chuyện liên quan tới đền thờ Trần Nguyên Hãn?,"Liên quan tới di tích tương truyền còn có 2 vật cổ: Thanh Gươm và phiến đá mài gươm. Chuyện kể rằng: Trong thời kỳ giặc Minh thống trị nước ta, Trần Nguyên Hãn mới bước vào tuổi thanh xuân. Vì cha mẹ lên khai hoang lập trại ở địa đầu trang Sơn Đông, nên ngày ngày."
Đền thờ nhà giáo Đỗ Khắc Chung tọa lạc tại vị trí nào?,"Đền thờ nhà giáo Đỗ Khắc Chung ở làng Quan Tử, xã Sơn Đông, huyện Lập Thạch. Đền được xây dựng từ khoảng giữa thế kỷ XIV trên nền lớp học cũ của nhà giáo Đỗ Khắc Chung. Dân làng quen gọi đền là miếu cụ Đỗ."
Đền thờ nhà giáo Đỗ Khắc Chung được xây dựng từ khi nào?,"Đền thờ nhà giáo Đỗ Khắc Chung được xây dựng từ khoảng giữa thế kỷ XIV. Đền được xây dựng trên nền lớp học cũ của nhà giáo Đỗ Khắc Chung. Đến thế kỷ XVIII, đền được dỡ bỏ miếu cũ và dựng lại khang trang hơn."
Đền thờ nhà giáo Đỗ Khắc Chung đã qua bao nhiêu lần tu sửa?,"Đền thờ nhà giáo Đỗ Khắc Chung đã trải qua 3 lần tu sửa vào các năm Tự Đức năm thứ 33 (24/11/1880), Khải Định năm thứ 9 (25/7/1924) và năm 1929."
Diện tích của đền thờ nhà giáo Đỗ Khắc Chung là bao nhiêu?,Đền thờ nhà giáo Đỗ Khắc Chung được xây dựng trên nền lớp học cũ. Ngôi đền được xây dựng từ khoảng giữa thế kỷ XIV. Lớp học của cụ có dáng như ngọn bút lông.
Đền thờ nhà giáo Đỗ Khắc Chung thờ ai?,Đền thờ nhà giáo Đỗ Khắc Chung thờ chính nhà giáo Đỗ Khắc Chung. Dân làng lập đền miếu thờ cụ Đỗ như là vị thần thành hoàng làng. Đỗ Khắc Chung là một công thần nhà Trần có tài học rộng.
Đền thờ nhà giáo Đỗ Khắc Chung được xây dựng từ vật liệu nào?,"Đền thờ nhà giáo Đỗ Khắc Chung được xây dựng bằng gỗ lim, gỗ mít. Các cấu kiện gỗ được đục chạm hoa văn trang trí bề mặt. Nội thất đền phù hợp với tín ngưỡng thờ cúng của dân tộc Việt."
"Đền thờ nhà giáo Đỗ Khắc Chung có những gian, tòa nào?","Đoạn văn bản này mô tả về đền thờ nhà giáo Đỗ Khắc Chung và đền Mẫu Đồng Đăng, nhưng không đề cập đến các gian, tòa của đền thờ nhà giáo Đỗ Khắc Chung. Thay vào đó, nó mô tả về lớp học cũ của nhà giáo Đỗ Khắc Chung và các gian thờ của đền Mẫu Đồng Đăng. Vì vậy, tôi không thể trả lời câu hỏi này dựa trên thông tin đã cho."
"Chi tiết về các bảo vật, hiện vật tại đền thờ nhà giáo Đỗ Khắc Chung?","Tôi xin lỗi, đoạn văn bản được cung cấp không có thông tin chi tiết về các bảo vật và hiện vật tại đền thờ nhà giáo Đỗ Khắc Chung."
Chi tiết về lễ hội tại đền thờ nhà giáo Đỗ Khắc Chung?,"Tôi xin lỗi, đoạn văn bản không cung cấp thông tin chi tiết về lễ hội tại đền thờ nhà giáo Đỗ Khắc Chung."
Đền Đuông tọa lạc tại vị trí nào?,"Đền Đuông nằm trên một gò đất cao thuộc xã Bồ Sao, huyện Vĩnh Tường, cách thành phố Vĩnh Yên 20km. Đền nằm trên đường du lịch theo tuyến quốc lộ 2 về thăm đất tổ Hùng Vương. Với không gian yên tĩnh và thoáng đãng, đền Đuông thích hợp là điểm du lịch tâm linh."
Đền Đuông thờ ai?,"Đền Đuông thờ Đông Hải Long Vương, con thứ 25 của Lạc Long Quân và Âu Cơ. Vì kiêng huý chữ “Đông” nên dân gian mới gọi tên đền là Đuông. Đền Đuông còn bảo tồn được 14 đạo sắc phong từ thời Cảnh Hưng (1745) đến đời vua Khải Định (1925) và cuốn ngọc phả ghi rõ về thần tích, lịch sử Đền."
Từng gian ở đền Đuông thờ ai?,"Đền Đuông thờ Đông Hải Long Vương, con thứ 25 của Lạc Long Quân và Âu Cơ. Đông Hải Long Vương được Hùng Vương giao cho cai quản cả vùng Bồ Sao, trị thuỷ sông Hồng, thu nạp dân phiêu tán vì lũ lụt về khai phá trại ấp, giữ yên tĩnh cho các làng chạ suốt vùng châu thổ, từ Ngã ba Hạc ra tới cửa biển. Các triều đại phong kiến sau này đều sắc phong cho ngài là “Đông Hải Long Vương tế thế chi thần”."
Đền Đuông có kiến trúc gì đặc biệt?,"Đền Đuông có kiến trúc hình chữ Công, với hai toà tiền đường và hậu cung được nối với nhau bằng ống muống. Toàn bộ công trình có 48 cột, hình đỉnh và 4 cây đèn to cao, màu đen bóng. Đền còn bảo tồn được 14 đạo sắc phong từ thời Cảnh Hưng (1745) đến đời vua Khải Định (1925) và cuốn ngọc phả ghi rõ về thần tích, lịch sử Đền."
"Đền Đuông có những gian, tòa nào?","Đền Đuông có tiền tế (5 gian), toà trung tế 3 gian nằm song song và kề bờ mái với toà tiền tế, trong là hậu cung 3 gian nối với trung tế theo hình chữ “đinh”. Đền có kiến trúc mặt bằng kiểu “nội đinh, ngoại nhất” qua cổng tam quan 2 tầng 4 mái tới sân đền lát gạch vuông. Tổng diện tích xây dựng của đền lên tới 600m2."
"Đền Đuông có những bảo vật, hiện vật quý giá nào?","Đền Đuông bảo tồn được 14 đạo sắc phong từ thời Cảnh Hưng (1745) đến đời vua Khải Định (1925) và cuốn ngọc phả ghi rõ về thần tích, lịch sử Đền. Bên trong đền có đầy đủ các đồ thờ tự như bát nhang đồng, chiêng và chuông đồng, ngai thờ sơn son thếp vàng, và các chi tiết chạm trổ tứ quý được tạo ra từ các loại gỗ quý. Ngoài ra, các bệ Phật hình hoa sen làm từ đất nung, cùng với những chi tiết trang trí hình cánh sen đặc trưng trên các bát sứ và lọ sứ men ngà rạn."
Đình Hiển Lễ tọa lạc tại vị trí nào?,"Đình Hiển Lễ tọa lạc ở một vị trí đẹp, rộng và bằng phẳng ở ven làng. Đình nằm ở vị trí giao thông rất thuận lợi, liền kề thị trấn Xuân Hòa, cách khu du lịch Đại Lải 6km, cách thị xã Phúc Yên 6km. Đình và làng gốm Hiển Lễ có thể trở thành điểm du lịch hấp dẫn."
"Đình Hiển Lễ có những bảo vật, hiện vật quý giá nào?","Đình Hiển Lễ lưu giữ nhiều cổ vật thuộc các loại chất liệu như gỗ, vải, đồng, giấy. Trong đó có hai cỗ ngai thánh làm thời Nguyễn được sơn son thếp vàng, đục chạm tinh tế; kiệu bát cống với lầu kiệu khá lớn hình mui thuyền, được làm từ thời Hậu Lê. Đặc biệt có 6 bản sắc phong và 2 cuốn ngọc phả chữ Hán, là tài liệu thuộc dạng cổ vật độc bản, rất quý."
Đình Hiển Lễ tổ chức lễ hội vào ngày nào?,Đình Hiển Lễ tổ chức giỗ Tổ vào ngày 28 tháng 3 âm lịch. Đây là một trong hai kỳ tiệc lớn nhất hàng năm tại đình. Lễ hội này thu hút đông đảo người dân và du khách đến tham gia.
Chi tiết về lễ hội đình Hiển Lễ?,"Hàng năm tại đình Hiển Lễ có nhiều ngày tiệc lệ, trong đó lớn nhất là 2 kỳ tiệc: giỗ Tổ. Đình Hiển Lễ tọa lạc ở một vị trí đẹp, rộng và bằng phẳng ở ven làng. Lúc mới khởi dựng, đình có quy mô kiến trúc rất đồ sộ với các tòa bố cục theo hình chữ “chủ”."
Đình Hiển Lễ thờ ai?,"Đình Hiển Lễ thờ ông (Đức thánh tổ Hà Tân), vợ ông (La Lang Lương thị) cùng với con trai ông (Đức thánh Trường Sinh). Họ là những người có công phò giúp vua Hùng và âm phù Hai Bà Trưng đánh giặc giúp nước, cứu dân. Họ đã được tôn phong làm thành hoàng làng."
Đình Hội Thịnh tọa lạc tại vị trí nào?,"Đình Hội Thịnh nằm ở xã Hợp Thịnh, huyện Tam Dương, tỉnh Vĩnh Phúc. Đình nằm phía trước bên phải trụ sở Uỷ ban nhân dân xã Hợp Thịnh. Đình được dựng trên một gò đất cao, bằng phẳng, nhô ra bên mép hồ nuôi trồng thủy sản."
Đình Hội Thịnh được xây dựng từ khi nào?,"Đình Hội Thịnh được xây dựng từ khoảng nửa cuối thế kỷ thứ XVII, không rõ năm khởi dựng. Ngôi đình cũ cách vị trí ngôi đình hiện nay khoảng 3m về phía sau, thuộc trung tâm Hội Hạ xưa. Đình Hội Thịnh được gọi theo tên làng Hội Thịnh xưa - một làng lớn của tổng Hội Hạ, tiền thân của xã Hợp Thịnh ngày nay."
Đình Hội Thịnh có kiến trúc gì đặc biệt?,"Đình Hội Thịnh được xây dựng trên một gò đất cao, bằng phẳng, nhô ra bên mép hồ nuôi trồng thủy sản. Đình quay lưng về phía đường trước UBND xã Hợp Thịnh và có quy mô khang trang. Tòa đại bái được phục dựng khang trang nhờ công đức của nhân dân thập phương."
Đình Hội Thịnh tổ chức lễ hội vào ngày nào?,"Đình Hội Thịnh duy trì 7 lễ tiệc hàng năm, trong đó có 3 ngày lễ chính là mùng 3 và mùng 10 tháng giêng, mùng 10 tháng 9 âm lịch. Phần hội diễn ra suốt đêm 19, cả ngày 20 và kết thúc vào nửa ngày 21."
Đình Hội Thịnh đã qua bao nhiêu lần tu sửa?,"Đình Hội Thịnh đã trải qua nhiều lần tu sửa do bị phá hoại và hư hỏng trong thời gian và các cuộc chiến tranh. Đình được phục dựng theo dáng dấp của đình cũ. Các hiện vật cũ còn giữ lại được rất ít, chủ yếu là các gia đình, cá nhân cung tiến từ năm 1996 trở lại đây."
Diện tích của đình Hội Thịnh là bao nhiêu?,"Đại đình gồm năm gian, hai trái có kích thước 16,8m x 6,8m. Gian chính rộng gần 4m, đây là nơi tế tự, cúng lễ. Đình Hội Thịnh hiện nay được dựng trên một gò đất cao, bằng phẳng."
"Đình Hội Thịnh có những gian, tòa nào?","Đình Hợp Thịnh có mặt bằng kiểu chữ Đinh, đại đình gồm năm gian, hai trái. Đại đình có kết cấu bốn hàng chân cột với 24 cột lớn. Tòa đại bái được phục dựng khang trang."
Chi tiết về lễ hội đình Hội Thịnh?,"Đình Hội Thịnh duy trì đầy đủ 7 lễ tiệc hàng năm theo phong tục từ trước để lại. Trong đó có 3 ngày lễ chính là mùng 3 và mùng 10 tháng giêng, mùng 10 tháng 9 âm lịch."
Những sự kiện lịch sử quan trọng đã diễn ra tại đình Hội Thịnh?,"Đình Hội Thịnh đã từng chứng kiến và che chở cho những người hoạt động cách mạng. Nơi đây từng là nơi chứa kho vũ khí, thuốc men, là nơi cứu chữa bệnh binh, sơ tán của các cơ quan Đảng, chính quyền tỉnh trong các cuộc chiến tranh của đất nước. Tháng 02/2011 đình Hội Thịnh được UBND tỉnh Vĩnh Phúc công nhận là Di tích Lịch sử văn hóa cấp tỉnh."
Đình Hương Canh được xây dựng từ khi nào?,"Đình Hương Canh được xây dựng vào thời Hậu Lê (thế kỷ XVII). Đình có kiến trúc đồ sộ, chạm trổ tinh vi điêu luyện. Đình Hương Canh tạo thành cụm di tích dầy đặc về mật độ, độc đáo về mỹ thuật kiến trúc gỗ cổ dân gian, rất quý hiếm của tỉnh Vĩnh Phúc."
Đình Hương Canh xây dựng vào thời đại nào?,"Đình Hương Canh được xây dựng vào thời Hậu Lê (thế kỷ XVII). Đình có kiến trúc đồ sộ, chạm trổ tinh vi điêu luyện. Đình Hương Canh tạo thành cụm di tích dầy đặc về mật độ, độc đáo về mỹ thuật kiến trúc gỗ cổ dân gian, rất quý hiếm của tỉnh Vĩnh Phúc, của xứ Đoài và vùng đồng bằng - trung du Bắc bộ."
Đình Hương Canh có kiến trúc gì đặc biệt?,"Đình Hương Canh là một ngôi đình có kiến trúc đồ sộ, chạm trổ tinh vi điêu luyện. Xưa kia, đình Hương Canh có 3 toà kiến trúc bố cục theo kiểu chữ “vương”, năm 1964 trong khi tu sửa đã dỡ đi toà cuối cùng, nay còn toà tiền tế và đại đình. Tiền tế đình Hương Canh gồm 3 gian, mái được làm kiểu 2 tầng 8 mái, toà đại đình 5 gian 2 dĩ, dài 26m, rộng 13,50m, 4 mái."
Đình Hương Canh đã qua bao nhiêu lần tu sửa?,"Đình Hương Canh đã được tu sửa vào năm 1964. Trong quá trình tu sửa, tòa cuối cùng đã bị dỡ bỏ. Hiện nay, đình còn lại tòa tiền tế và đại đình."
Đình Hương Canh tọa lạc tại vị trí nào?,"Đình Hương Canh nằm ở vị trí giữa làng. Đình Hương Canh đã đứng đó gần 300 năm. Đình Hương Canh như thách thức với nắng mưa, như khoe với thiên nhiên cỏ cây."
Những ngôi chùa nào gần ngôi đình Hương Canh?,"Chùa Kính Phúc nằm gần đình Hương Canh. Cùng với đình Ngọc Canh, Tiên Canh, chùa Kính Phúc và các điếm, miếu cổ trong một khu vực không rộng của làng gốm cổ Hương Canh - đình Hương Canh tạo thành cụm di tích dầy đặc về mật độ, độc đáo về mỹ thuật kiến trúc gỗ cổ dân gian."
Đình Hương Canh được xây dựng từ vật liệu nào?,"Đình Hương Canh là ngôi đình có kiến trúc đồ sộ, chạm trổ tinh vi điêu luyện. Đình Ngọc Canh có kiểu thức kiến trúc tương tự đình Hương Canh, rất đồ sộ, cột lớn kết cấu vững chãi. Để chống đỡ bộ mái nặng hàng chục tấn ấy, các nhà thiết kế thời xưa đã sử dụng gỗ."
"Những ngôi đình, chùa nào đạt di tích lịch sử cấp quốc gia?",Đôi chuông chùa Viên Minh được xếp hạng Di tích nghệ thuật cấp Quốc gia năm 1993. Chùa Làng Dòng được công nhận là di tích lịch sử văn hóa cấp quốc gia năm 1980. Bàn thờ Phật bằng đá tại chùa Xuân Lũng đã được công nhận là Bảo vật quốc gia năm 2021.
"Đình Hương Canh có những gian, tòa nào?","Đình Hương Canh xưa kia có 3 tòa kiến trúc bố cục theo kiểu chữ ""vương"". Hiện nay, đình còn tòa tiền tế và đại đình. Tiền tế đình Hương Canh gồm 3 gian, toà đại đình 5 gian 2 dĩ."
Đình Hương Canh có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đình Hương Canh, một công trình kiến trúc đạt đến đỉnh cao về nghệ thuật điêu khắc gỗ cổ dân gian, không chỉ thu hút sự quan tâm nghiên cứu của giới khoa học mà còn là điểm đến hấp dẫn cho du khách. Đình Hương Canh cùng với các di tích khác tạo thành cụm di tích có mật độ dày đặc, độc đáo về mỹ thuật kiến trúc gỗ cổ dân gian, rất quý hiếm của tỉnh Vĩnh Phúc, của xứ Đoài và vùng đồng bằng - trung du Bắc bộ. Trong tương lai, đình Hương Canh hứa hẹn sẽ là địa chỉ đỏ trong những chuyến hành hương tham quan thưởng ngoạn của du khách gần xa."
Đình Ngọc Canh được xây dựng từ khi nào?,Đình Ngọc Canh được khởi dựng thời Hậu Lê (thế kỷ XVII). Đình có kiểu thức kiến trúc tương tự đình Hương Canh. Đình có cột lớn kết cấu vững chãi.
Đình Ngọc Canh có kiến trúc gì đặc biệt?,"Đình Ngọc Canh có kiểu thức kiến trúc tương tự đình Hương Canh, rất đồ sộ, cột lớn kết cấu vững chãi. Hiện đình còn nguyên 3 toà kiến trúc bố cục như hình chữ “vương”. Về nghệ thuật chạm khắc, đình Ngọc Canh cũng có những bức chạm giống đình Hương Canh."
Đình Ngọc Canh thờ ai?,"Đình Ngọc Canh thờ 6 vị thành hoàng. Đó là Thiên Sách Vương Ngô Xương Ngập, Nam Tấn Vương Ngô Xương Văn, Linh Quang Thái Hậu Dương Thị Như Ngọc, A Lữ nương nương Dương Phương Lan, Thị Tùng phu nhân Phạm Thị Uy Duyên, Đông Ngạc đại thần Đỗ Cảnh Thạc. Các vị này đều có liên quan đến Ngô Quyền."
"Đình Ngọc Canh có những gian, tòa nào?","Đình Ngọc Canh có 3 tòa kiến trúc bố cục như hình chữ “vương”. Tiền tế 5 gian dài 20m, rộng 7,10m. Đại đình 5 gian 2 dĩ dài 24m, rộng 15,50m; hậu cung 5 gian dài 10m, rộng 7,30m."
Đình Sơn Bao thờ ai?,"Đình Sơn Bao thờ ba vị thành hoàng. Đó là Tản Viên Sơn Thánh, Cao Sơn Đại Vương, Quý Minh Đại Vương. Tương truyền là ba vị thần sinh ở vùng núi Tản Viên, có công giúp vua Hùng Duệ Vương đánh giặc."
Đình Sơn Bao tọa lạc tại vị trí nào?,"Đình Sơn Bao tọa lạc tại làng Bầu, xã Liên Bảo, thành phố Vĩnh Yên. Đình còn được gọi là đình Bầu."
Đình Sơn Bao được xây dựng từ khi nào?,"Đình Sơn Bao được xây dựng từ đời vua Cảnh Hưng năm thứ 18, tức năm 1758. Đình Sơn Bao thuộc loại di tích kiến trúc nghệ thuật. Ngôi đình Sơn Bao trước đây có quy mô lớn, khung đình chịu lực được làm bằng gỗ Tứ Thiết."
Đình Sơn Bao xây dựng vào thời đại nào?,"Đình Sơn Bao được khởi xây dựng từ đời vua Cảnh Hưng năm thứ 18, tức năm 1758. Đình thuộc loại di tích kiến trúc nghệ thuật. Ngôi đình Sơn Bao trước đây có quy mô lớn, khung đình chịu lực được làm bằng gỗ Tứ Thiết."
Đình Sơn Bao đã qua bao nhiêu lần tu sửa?,"Đình Sơn Bao đã trải qua nhiều lần tu sửa. Lần tu sửa đầu tiên là sau khi đình bị ném bom năm 1943. Lần tu sửa thứ hai là vào năm 1952, sau khi đình bị thực dân Pháp đốt phá năm 1951."
Diện tích của đình Sơn Bao là bao nhiêu?,"Diện tích sử dụng của đình Sơn Bao là 109,5m2. Đình có quy mô 3 toà tiền tế 3 gian 2 dĩ, trung tế 3 gian và hậu cung 1 gian. Đình có 16 cột chịu lực bằng bê tông, vì kèo dàn tay được làm bằng gỗ, mái lợp ngói mũi ở các góc mái."
"Đình Sơn Bao có những bảo vật, hiện vật quý giá nào?","Đình Sơn Bao có ngọc phả được hàng ngàn thế hệ lưu truyền gìn giữ. Hiện vật mới gồm đồ gỗ, đồ sứ, đồ đồng như ngai thờ, đài nước, hạc đứng trên lưng rùa, hạc nhỏ, án gian, kiều dài, hoành phi câu đối, bộ chấp kích, trống, chuông, đỉnh đồng. Các hiện vật này đều được mua sắm công đức vào đình đầy đủ theo lễ nghi."
"Đình Sơn Bao có những gian, tòa nào?","Đình Sơn Bao có quy mô 3 toà tiền tế 3 gian 2 dĩ, trung tế 3 gian và hậu cung 1 gian. Diện tích sử dụng của đình là 109,5m2. Đình có 16 cột chịu lực bằng bê tông, vì kèo dàn tay được làm bằng gỗ, mái lợp ngói mũi ở các góc mái."
Đình Thổ Tang được xây dựng từ khi nào?,Đình Thổ Tang được tạo dựng từ thế kỷ XVII. Đình còn bảo lưu được tương đối nguyên vẹn kiểu thức kiến trúc thời Hậu Lê. Đình là di tích được xếp hạng quốc gia sớm nhất ở Vĩnh Phúc.
Đình Thổ Tang xây dựng vào thời đại nào?,Đình Thổ Tang được tạo dựng từ thế kỷ XVII. Đình còn bảo lưu được kiểu thức kiến trúc thời Hậu Lê. Đình là di tích được xếp hạng quốc gia sớm nhất ở Vĩnh Phúc.
Đình Thổ Tang thờ ai?,"Đình Thổ Tang thờ danh tướng Lân Hổ. Ông là người có công đánh giặc Nguyên Mông ở thế kỷ XIII. Theo lệnh Vua Trần, Lân Hổ đã dẫn quân lên vùng Gia Ninh lập phòng tuyến, bày binh bố trận, chỉ huy quân sĩ chiến đấu anh dũng, tiêu diệt nhiều sinh lực địch, bảo vệ kinh đô Thăng Long."
Đình Thổ Tang được xây dựng từ vật liệu nào?,"Đình Thổ Tang có 60 cột làm bằng gỗ tốt đại khoa. Nền đình dài 25,80m, rộng 14,20m, bó đá xanh xung quanh. Đình còn 21 bức chạm khắc gỗ tinh tế."
"Đình Thổ Tang có những gian, tòa nào?","Đình Thổ Tang được xây dựng với quy mô đồ sộ, gồm hai toà kiến trúc bố cục theo hình chữ ""đinh"". Đại đình 5 gian 2 dĩ 6 hàng chân, hậu cung 2 gian. Toàn đình đếm được 60 cột, làm bằng gỗ tốt đại khoa."
Diện tích của đình Thổ Tang là bao nhiêu?,"Đình Thổ Tang tọa lạc trên diện tích 1394m2. Sân đình khá rộng, lát gạch đỏ. Quanh sân trồng nhiều các loại cây cảnh để tạo thêm vẻ đẹp xanh tươi và làm bóng mát cho ngôi đình."
Đình Thổ Tang có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đình Thổ Tang là trung tâm để tổ chức lễ hội cùng những trò diễn, hèm tục tưởng niệm về vị tướng tài Lân Hổ và cuộc kháng chiến chống giặc ngoại xâm bảo vệ đất nước của dân tộc ta thời Trần. Đình Thổ Tang là một trong những ngôi đình đạt đến đỉnh cao về mỹ thuật điêu khắc gỗ cổ dân gian thời Hậu Lê. Đình Thổ Tang thu hút sự quan tâm nghiên cứu của giới khoa học, sự quan tâm bảo vệ tu bổ của Nhà nước các cấp, chính quyền và nhân dân địa phương."
Đình Thổ Tang có kiến trúc gì đặc biệt?,"Đình Thổ Tang được xây dựng với quy mô đồ sộ, gồm hai toà kiến trúc bố cục theo hình chữ ""đinh"". Đại đình 5 gian 2 dĩ 6 hàng chân, hậu cung 2 gian. Kết cấu kiến trúc kiểu tứ trụ, chồng rường giá chiêng, gia cố bền chắc."
